businessName,contactName,phone,city,state,businessType,score,address
Northpoint360,,+18884188107,Wayne,PA,real estate agent,90,"113 West Lancaster Avenue, Wayne, PA"
Volpe Real Estate,,+12155455414,Philadelphia,NJ,real estate agent,90,"701 South 20th Street, Philadelphia, NJ"
Deptford Cuts and Color s,,+18562272331,Deptford,NJ,nail salon,80,"1395 Cooper Street, Deptford, NJ"
Surfs Up Salon,,+18562457094,Deptford,NJ,nail salon,80,"1526 Hurffville Rd, Deptford, NJ"
Bounce U,,+12157529728,Langhorne,NJ,daycare center,80,"2221 Cabot Boulevard West, Langhorne, NJ"
Ritetax FInancial,,+12679696871,Philadelphia,PA,tax preparer,80,"4920 Baltimore Avenue, Philadelphia, PA"
Liberty Tax,,+12672824690,Hatboro,PA,tax preparer,80,"985 West County Line Road, Hatboro, PA"
Alleva Funeral Home,,+16106443540,Paoli,NJ,funeral home,80,"1724 East Lancaster Avenue, Paoli, NJ"
Cohen Funeral Services,,+12152711610,Philadelphia,NJ,funeral home,80,"1720 Moore Street, Philadelphia, NJ"
The UPS Store,,+12152222840,Philadelphia,PA,printing shop,80,"3720 Spruce Street, Philadelphia, PA"
Jefferson Roofing and Exterior,,+14844972141,,NJ,roofing contractor,80,NJ
Murphy Roofing,,+12154877000,,NJ,roofing contractor,80,NJ
Garcia Family Roofing,,+18626401440,Mount Holly,NJ,roofing contractor,80,"1623 State Route 38, Mount Holly, NJ"
