businessName,contactName,phone,city,state,businessType,score,address
Northpoint360,,+18884188107,Wayne,PA,real estate agent,90,"113 West Lancaster Avenue, Wayne, PA"
Volpe Real Estate,,+12155455414,Philadelphia,NJ,real estate agent,90,"701 South 20th Street, Philadelphia, NJ"
Pete's Auto Service,,+16102963655,,NJ,auto repair shop,80,"202 East King Street, NJ"
Exton Collision,,+16103633555,,NJ,auto repair shop,80,"390, NJ"
King Street Hair,,+14843288962,Malvern,PA,hair salon,80,"129 West King Street, Malvern, PA"
"Joseph Hart, Inc. Plumbing",,+18566244173,,NJ,plumber,80,"1140 US Highway 40, NJ"
Tri-Point Electric,,+12158175030,Havertown,PA,electrician,80,"1315 Lawrence Road, Havertown, PA"
Ritetax FInancial,,+12679696871,Philadelphia,PA,tax preparer,80,"4920 Baltimore Avenue, Philadelphia, PA"
Liberty Tax,,+12672824690,Hatboro,PA,tax preparer,80,"985 West County Line Road, Hatboro, PA"
Gamble's Newark Florist,,+13023661211,Newark,DE,florist,80,"257 East Main Street, Newark, DE"
The UPS Store,,+12152222840,Philadelphia,PA,printing shop,80,"3720 Spruce Street, Philadelphia, PA"
