businessName,contactName,phone,city,state,businessType,score,address
State Farm Insurance: Ann Lin,,+16107225577,,NJ,insurance agency,90,NJ
Allstate,,+12153603700,Hatboro,PA,insurance agency,90,"979 West County Line Road, Hatboro, PA"
Northpoint360,,+18884188107,Wayne,PA,real estate agent,90,"113 West Lancaster Avenue, Wayne, PA"
Volpe Real Estate,,+12155455414,Philadelphia,NJ,real estate agent,90,"701 South 20th Street, Philadelphia, NJ"
Pete's Auto Service,,+16102963655,,NJ,auto repair shop,80,"202 East King Street, NJ"
Exton Collision,,+16103633555,,NJ,auto repair shop,80,"390, NJ"
Deptford Cuts and Color s,,+18562272331,Deptford,NJ,nail salon,80,"1395 Cooper Street, Deptford, NJ"
Surfs Up Salon,,+18562457094,Deptford,NJ,nail salon,80,"1526 Hurffville Rd, Deptford, NJ"
"Joseph Hart, Inc. Plumbing",,+18566244173,,NJ,plumber,80,"1140 US Highway 40, NJ"
Bounce U,,+12157529728,Langhorne,NJ,daycare center,80,"2221 Cabot Boulevard West, Langhorne, NJ"
Ritetax FInancial,,+12679696871,Philadelphia,PA,tax preparer,80,"4920 Baltimore Avenue, Philadelphia, PA"
Liberty Tax,,+12672824690,Hatboro,PA,tax preparer,80,"985 West County Line Road, Hatboro, PA"
Gamble's Newark Florist,,+13023661211,Newark,DE,florist,80,"257 East Main Street, Newark, DE"
The UPS Store,,+12152222840,Philadelphia,PA,printing shop,80,"3720 Spruce Street, Philadelphia, PA"
Italo's Tailor Shop,,+13023668031,Newark,DE,alterations tailor,80,"64 East Main Street, Newark, DE"
Sunsilk Tailor,,+12152516925,,NJ,alterations tailor,80,NJ
Tino's Custom Tailoring & Dry Cleaning,,+16104495585,Havertown,PA,alterations tailor,80,"2407 West Darby Road, Havertown, PA"
