businessName,contactName,phone,city,state,businessType,score,address
Northpoint360,,+18884188107,Wayne,PA,real estate agent,90,"113 West Lancaster Avenue, Wayne, PA"
Volpe Real Estate,,+12155455414,Philadelphia,NJ,real estate agent,90,"701 South 20th Street, Philadelphia, NJ"
Ufberg Dental P.C.,,+16102512227,,NJ,dentist,90,NJ
Bear-Glasgow Dental,,+13028863750,,NJ,dentist,90,"1102 Pulaski Highway, NJ"
Franklinville Family Dentistry,,+18566945555,Franklinville,NJ,dentist,90,"2005 Delsea Drive, Franklinville, NJ"
Deptford Cuts and Color s,,+18562272331,Deptford,NJ,nail salon,80,"1395 Cooper Street, Deptford, NJ"
Surfs Up Salon,,+18562457094,Deptford,NJ,nail salon,80,"1526 Hurffville Rd, Deptford, NJ"
Tri-Point Electric,,+12158175030,Havertown,PA,electrician,80,"1315 Lawrence Road, Havertown, PA"
John's Tree Service,,+12154991344,Levittown,PA,landscaping,80,"161 Forsythia Drive South, Levittown, PA"
Bounce U,,+12157529728,Langhorne,NJ,daycare center,80,"2221 Cabot Boulevard West, Langhorne, NJ"
Gamble's Newark Florist,,+13023661211,Newark,DE,florist,80,"257 East Main Street, Newark, DE"
